実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1990/ 1- 3.,"394,387.4 ","219,666.6 ","216,391.2 ","183,250.6 ","27,207.9 ","71,010.6 ","1,140.1 ","61,416.4 ","35,639.7 ",-71.4 ,"-12,519.7 ","28,934.5 ","41,454.2 ","-9,103.0 ",,"16,067.0 ","410,454.4 ","4,681.2 ","17,617.2 ","12,936.0 ","415,135.6 ",,"416,884.2 ","320,182.8 ","96,171.2 ",,"132,661.9 ",,"392,847.1 ",,,
4- 6.,"404,821.9 ","226,984.5 ","223,654.7 ","190,068.8 ","27,403.0 ","74,122.4 ","1,217.9 ","62,327.9 ","34,309.1 ",-224.0 ,"-12,452.2 ","29,661.5 ","42,113.7 ","-8,866.7 ",,"15,919.3 ","420,741.3 ","3,012.6 ","17,862.8 ","14,850.2 ","423,753.8 ",,"427,571.6 ","331,151.6 ","95,642.6 ",,"135,154.7 ",,"403,300.0 ",,,
7- 9.,"412,618.3 ","229,633.1 ","226,268.5 ","192,406.4 ","28,605.9 ","75,586.9 ","2,116.6 ","62,513.0 ","35,342.3 ",385.4 ,"-12,005.4 ","29,455.2 ","41,460.6 ","-9,559.5 ",,"15,233.1 ","427,851.5 ","2,825.8 ","16,600.6 ","13,774.9 ","430,677.2 ",,"435,634.9 ","337,520.8 ","97,313.3 ",,"138,663.2 ",,"409,669.3 ",,,
10-12.,"412,251.1 ","227,987.0 ","224,563.5 ","190,581.1 ","28,413.9 ","76,685.6 ","1,241.5 ","63,283.9 ","36,591.7 ",45.1 ,"-13,237.9 ","30,574.2 ","43,812.1 ","-8,759.7 ",,"14,521.1 ","426,772.2 ","2,810.3 ","16,462.2 ","13,651.9 ","429,582.5 ",,"435,741.5 ","336,023.6 ","99,052.7 ",,"140,820.1 ",,"410,526.5 ",,,
1991/ 1- 3.,"416,478.0 ","227,735.0 ","224,215.8 ","190,067.9 ","28,281.7 ","79,468.5 ",573.5 ,"64,255.5 ","35,701.1 ",-518.5 ,"-10,502.5 ","30,585.1 ","41,087.6 ","-8,516.2 ",,"15,143.1 ","431,621.1 ","3,684.7 ","17,604.7 ","13,920.0 ","435,305.8 ",,"437,607.1 ","338,185.3 ","98,696.0 ",,"143,032.2 ",,"415,869.6 ",,,
4- 6.,"420,161.1 ","231,229.2 ","227,628.8 ","193,202.5 ","27,364.4 ","78,273.4 ","3,163.9 ","64,499.1 ","34,682.0 ",24.8 ,"-10,537.3 ","30,721.7 ","41,259.0 ","-8,538.4 ",,"16,429.5 ","436,590.5 ","2,871.4 ","17,674.4 ","14,803.0 ","439,461.9 ",,"441,504.3 ","342,343.9 ","98,340.0 ",,"140,054.5 ",,"416,307.9 ",,,
7- 9.,"419,903.1 ","231,212.6 ","227,544.9 ","192,962.8 ","25,820.2 ","77,976.8 ","2,823.6 ","65,077.5 ","36,027.7 ",-311.9 ,"-10,655.0 ","31,512.5 ","42,167.5 ","-8,068.3 ",,"17,184.5 ","437,087.6 ","3,221.7 ","18,068.9 ","14,847.2 ","440,309.2 ",,"440,937.9 ","340,241.4 ","99,999.4 ",,"139,626.5 ",,"416,646.1 ",,,
10-12.,"422,969.4 ","234,378.8 ","230,625.5 ","195,780.4 ","24,844.1 ","77,742.2 ","1,553.1 ","65,696.8 ","37,948.5 ",-914.3 ,"-10,160.0 ","32,220.3 ","42,380.3 ","-8,119.8 ",,"17,411.8 ","440,381.2 ","3,033.2 ","17,368.8 ","14,335.6 ","443,414.3 ",,"443,358.9 ","340,691.2 ","102,072.1 ",,"140,239.3 ",,"421,512.6 ",,,
1992/ 1- 3.,"423,591.0 ","237,186.8 ","233,322.6 ","198,226.0 ","24,856.2 ","73,985.1 ","1,760.5 ","66,058.8 ","38,659.2 ",-246.3 ,"-9,528.6 ","32,386.4 ","41,915.0 ","-9,140.7 ",,"17,860.6 ","441,451.6 ","3,285.8 ","16,621.4 ","13,335.6 ","444,737.4 ",,"443,377.1 ","339,261.5 ","103,624.3 ",,"136,716.5 ",,"421,474.7 ",,,
4- 6.,"423,582.9 ","236,068.8 ","232,075.6 ","196,859.4 ","25,381.1 ","74,047.0 ",-748.3 ,"66,171.1 ","41,834.7 ",-158.0 ,"-9,362.5 ","32,534.9 ","41,897.4 ","-9,650.8 ",,"17,723.0 ","441,305.9 ","3,829.8 ","16,621.5 ","12,791.7 ","445,135.7 ",,"443,154.8 ","335,920.0 ","106,970.8 ",,"140,020.9 ",,"424,071.8 ",,,
